id;start_date;updated_date;survey_id;email;status;device_type;contact_id;contact_list_id;promotion_code;1_¿Cuál es el principal objetivo de su visita al BOAM?;1_¿Cuál es el principal objetivo de su visita al BOAM?_Otro;2_¿Ha conseguido cumplir su objetivo?;3_¿Con qué frecuencia consulta el Boletín Oficial del Ayuntamiento de Madrid?;4_¿Con qué perfil se identifica usted más?;4_¿Con qué perfil se identifica usted más?_Otro;5_¿De qué forma mayoritaria realiza sus consultas del Boletín Oficial del Ayuntamiento?;6_¿Conoce el servicio de suscripción al Boletín Oficial del Ayuntamiento de Madrid?;7_Indique su grado de satisfacción general con el Boletín Oficial del Ayuntamiento de Madrid;8_Le agradecemos cualquier comentario que nos ayude a mejorar;9_¿Cuál es su sexo?;10_¿A qué grupo de edad pertenece?
43751377;10/05/2024 8:49;10/05/2024 8:50;359511;;Completa;Desktop;;;;Localizar una disposición concreta publicada hace tiempo.;;No ;Ocasionalmente;Estoy estudiando / opositando;;Desde un dispositivo móvil;No;0;;Mujer;Entre 18 y 40
43751841;10/05/2024 9:40;10/05/2024 9:42;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;No;9;;Hombre;Entre 40 y 65
43752071;10/05/2024 10:52;10/05/2024 10:53;359511;;Completa;Desktop;;;;Buscar todas las disposiciones publicadas sobre un tema o asunto concreto.;;;Diariamente;Trabajo en una Administración Pública;;Desde un PC;Sí;10;;Mujer;Entre 40 y 65
43752138;10/05/2024 11:15;10/05/2024 11:16;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;No;9;;Hombre;Entre 18 y 40
43752154;10/05/2024 11:22;10/05/2024 11:23;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;No;7;;Mujer;Entre 40 y 65
43752292;10/05/2024 11:57;10/05/2024 11:58;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Estoy estudiando / opositando;;Desde un PC;No;10;;Mujer;Entre 40 y 65
43752659;10/05/2024 12:58;10/05/2024 12:59;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Semanalmente;Trabajo en una Administración Pública;;Desde un PC;Sí;7;;Mujer;Entre 40 y 65
43776470;13/05/2024 8:16;13/05/2024 8:17;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;No;10;;Hombre;Entre 40 y 65
43776500;13/05/2024 8:23;13/05/2024 8:24;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;Sí;6;;Hombre;Entre 40 y 65
43776641;13/05/2024 9:03;13/05/2024 9:07;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;Sí;7;La tabla de contenido debería estar resumida. Se transcribe todo el acuerdo, por lo que se hace  poco útil, debido a su extensión, desplazarse entre acuerdos;Hombre;Entre 40 y 65
43785898;13/05/2024 22:44;13/05/2024 22:45;359511;;Completa;Mobile;;;;Localizar una disposición concreta publicada hace tiempo.;;;Semanalmente;;;Desde un dispositivo móvil;Sí;10;;Hombre;Entre 40 y 65
43790137;14/05/2024 8:21;14/05/2024 8:24;359511;;Completa;Desktop;;;;Localizar una disposición concreta publicada hace tiempo.;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;No;7;;Hombre;Entre 40 y 65
43790171;14/05/2024 8:43;14/05/2024 8:44;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;Sí;8;;Hombre;Entre 40 y 65
43790782;14/05/2024 9:13;14/05/2024 9:14;359511;;Parcial;Mobile;;;;Consultar el BOAM de hoy;;No ;Ocasionalmente;Otro;;;;;;;
43792491;14/05/2024 13:49;14/05/2024 13:49;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;;Sí;9;;Hombre;Entre 40 y 65
43822071;15/05/2024 11:26;15/05/2024 11:28;359511;;Completa;Mobile;;;;Otro;;No ;;Trabajo en una Administración Pública;;Desde un dispositivo móvil;No;;Estoy buscando una bolsa q esté abierta y a la cual poderme presentar y x bolsa no encuentro ningún resultado;Mujer;Entre 40 y 65
43822871;15/05/2024 14:34;15/05/2024 14:36;359511;;Completa;Tablet;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;Sí;10;;Hombre;Entre 40 y 65
43837396;16/05/2024 7:33;16/05/2024 7:33;359511;;Parcial;Desktop;;;;Consultar el BOAM de hoy;;;;;;;;;;;
43837454;16/05/2024 7:52;16/05/2024 7:53;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Semanalmente;Trabajo en una Administración Pública;;Desde un PC;No;10;;Mujer;Entre 40 y 65
43838833;16/05/2024 10:03;16/05/2024 10:04;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;Sí;7;;Mujer;Entre 40 y 65
43936232;19/05/2024 12:20;19/05/2024 12:22;359511;;Parcial;Mobile;;;;;;Sí;;;;;;;;;
43940743;20/05/2024 9:04;20/05/2024 8:52;359511;;Completa;Mobile;;;;Buscar todas las disposiciones publicadas sobre un tema o asunto concreto.;;;Diariamente;Trabajo en una Administración Pública;;Desde un dispositivo móvil;Sí;5;Hay algunas disposiciones del apartado Oposiciones y Concursos que no aparecen en el buscador de edictos y que se publican directamente en el BOAM;Mujer;Entre 40 y 65
43944013;20/05/2024 13:02;20/05/2024 13:03;359511;;Parcial;Desktop;;;;Localizar una disposición concreta publicada hace tiempo.;;;;;;;;;;;
43944060;20/05/2024 13:17;20/05/2024 13:20;359511;;Parcial;Desktop;;;;Consultar el BOAM de hoy;;Sí;Mensualmente;Trabajo en una Administración Pública;;Desde un PC;No;;;;
43944794;20/05/2024 15:51;20/05/2024 15:51;359511;;Parcial;Desktop;;;;Consultar el BOAM de hoy;;;;;;;;;;;
43946976;20/05/2024 18:09;20/05/2024 18:09;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Ocasionalmente;Estoy estudiando / opositando;;Desde un PC;;8;;Mujer;Entre 18 y 40
43959493;20/05/2024 22:02;20/05/2024 22:03;359511;;Completa;Mobile;;;;Consultar el BOAM de hoy;;Sí;Semanalmente;Otro;Entidad si iL;Desde un dispositivo móvil;Sí;8;;Hombre;Entre 40 y 65
43968009;21/05/2024 8:47;29/05/2024 9:17;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Soy un/a trabajador/a autónomo;;Desde un PC;Sí;10;;Mujer;Entre 40 y 65
43968118;21/05/2024 9:11;21/05/2024 9:13;359511;;Completa;Tablet;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo por cuenta ajena;;Desde un PC;Sí;9;Muy satisfecho;Hombre;Entre 40 y 65
44067971;21/05/2024 13:07;21/05/2024 13:09;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Otro;Funcionario Ayuntamiento de Madrid;Desde un PC;Sí;9;Sea un poco más intuitivo y mejor ordenado para facilitar las búsquedas;Hombre;Entre 40 y 65
44167141;21/05/2024 22:22;21/05/2024 22:22;359511;;Parcial;Desktop;;;;Buscar todas las disposiciones publicadas sobre un tema o asunto concreto.;;;;;;;;;;;
44170814;22/05/2024 5:10;22/05/2024 5:10;359511;;Parcial;Mobile;;;;Consultar el BOAM de hoy;;;;;;;;;;;
44171379;22/05/2024 7:25;22/05/2024 7:27;359511;;Completa;Desktop;;;;Buscar todas las disposiciones publicadas sobre un tema o asunto concreto.;;No ;Mensualmente;Otro;Jubilado;Desde un dispositivo móvil;No;3;;Mujer; Más de 65
44171791;22/05/2024 7:53;22/05/2024 7:54;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;Sí;8;;Hombre;Entre 40 y 65
44171888;22/05/2024 8:39;22/05/2024 8:39;359511;;Completa;Mobile;;;;Buscar todas las disposiciones publicadas sobre un tema o asunto concreto.;;No ;Ocasionalmente;Soy un/a trabajador/a autónomo;;Desde un dispositivo móvil;No;5;;Hombre;Entre 40 y 65
44208106;23/05/2024 9:29;23/05/2024 9:29;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;;;;;;;;;Mujer;Entre 40 y 65
44208332;23/05/2024 10:20;23/05/2024 10:25;359511;;Completa;Desktop;;;;Localizar una disposición concreta publicada hace tiempo.;;No ;Semanalmente;Trabajo en una Administración Pública;;Desde un PC;Sí;8;CIBELEX ha supuesto una mejora sustancial en la exposición pública de la normativa comunitaria, pero habría que avanzar hacia un modelo como el del BOE en el que puede consultarse a versión de la norma vigente en cada momento. La incorporación de jurisprudencia en CIBELEX supone una mejora muy relevante que merece un sincero y destacado elogio. Por último debe destacarse que hay que evitar, en la medida de lo posible, que los ciudadanos accedan mediante búsquedas en buscadores genéricos de internet (google, etc) a textos normativos desactualizados, generando confsión y por ende inseguridad jurídica.   ;Hombre;Entre 40 y 65
44208579;23/05/2024 11:36;23/05/2024 11:37;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;Sí;9;Cuando se accede a un apartado del BOAM y ya se ha consultado al ir hacia atrás tienes que empezar la búsqueda desde el principio. Sería conveniente que te dejase en el apartado donde has buscado la información.;Mujer;Entre 40 y 65
